Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_1;QLB;B1;68.00;66.47;486.80;1359.20;26.38;30.17;592.00;39.00;228.00;14.44
BRISONr_2;QLB;B1;58.00;29.04;274.80;851.84;22.68;28.90;380.00;40.00;106.00;15.04
BRISONr_3;QLB;B1;59.00;49.35;283.84;934.88;28.78;30.00;504.00;47.00;241.00;16.01
BRISONr_4;QLB;B1;78.00;61.15;416.56;1297.84;23.05;24.50;644.00;28.00;243.00;13.01
BRISONr_5;QLB;B1;73.00;63.20;317.60;993.12;28.27;31.67;536.00;44.00;443.00;15.33
BRISONr_6;QLB;B1;73.00;70.01;383.12;1134.48;25.86;27.83;692.00;47.00;279.00;13.91
BRISONr_7;QLB;B1;73.00;52.19;351.76;1037.60;22.42;24.13;372.00;36.00;202.00;13.71
BRISONr_8;QLB;B1;84.00;64.59;471.68;1251.04;28.04;30.53;632.00;24.00;334.00;13.85
BRISONr_9;QLB;B1;72.00;58.18;308.08;923.20;26.46;30.90;704.00;48.00;468.00;14.22
BRISONr_10;QLB;B1;83.00;78.13;492.80;1264.00;28.29;27.10;552.00;46.00;374.00;12.87
BRISONr_11;QLB;B1;90.00;28.20;214.80;905.12;27.75;31.30;0.00;44.00;250.00;13.01
BRISONr_12;QLB;B1;74.00;55.09;363.60;1148.48;32.83;33.90;576.00;56.00;387.00;15.82
BRISONr_13;QLB;B1;71.00;55.69;296.40;918.24;22.88;26.03;572.00;49.00;143.00;15.85
BRISONr_14;QLB;B1;64.00;48.71;329.20;997.84;28.92;30.10;532.00;43.00;324.00;15.33
BRISONr_15;QLB;B1;74.00;51.37;300.80;1044.56;28.55;31.63;616.00;43.00;317.00;14.85
BRISONr_16;QLB;B1;69.00;42.39;319.20;976.08;25.86;31.47;516.00;41.00;317.00;15.95
BRISONr_17;QLB;B1;78.00;63.03;394.40;1121.68;28.72;32.33;460.00;55.00;342.00;14.09
BRISONr_18;QLB;B1;74.00;53.80;346.16;978.56;29.52;33.83;656.00;44.00;270.00;13.25
BRISONr_19;QLB;B1;78.00;52.33;315.76;1060.00;27.89;30.00;444.00;47.00;359.00;14.77
BRISONr_20;QLB;B1;70.00;34.09;264.56;965.84;22.56;24.23;468.00;42.00;259.00;15.02
BRISONr_21;QLB;B1;76.00;63.21;507.20;1376.00;28.23;29.67;448.00;48.00;457.00;14.17
BRISONr_22;QLB;B1;77.00;55.67;310.88;899.52;24.17;26.17;588.00;44.00;243.00;15.26
BRISONr_23;QLB;B1;84.00;54.89;376.96;1138.00;28.98;30.10;512.00;55.00;252.00;15.04
BRISONr_24;QLB;B1;74.00;55.11;420.80;1232.08;27.09;27.87;540.00;46.00;106.00;14.45
BRISONr_25;QLB;B1;75.00;63.58;346.16;1079.68;36.44;37.57;476.00;52.00;300.00;14.82
BRISONr_26;QLB;B1;80.00;63.97;393.76;1088.56;34.06;36.73;536.00;49.00;385.00;14.84
BRISONr_27;QLB;B1;72.00;40.28;387.76;1208.88;27.03;27.47;412.00;38.00;256.00;15.88
BRISONr_28;QLB;B1;65.00;22.79;245.28;917.68;20.49;23.80;508.00;31.00;179.00;14.93
BRISONr_29;QLB;B1;75.00;67.86;464.56;1232.16;31.02;31.37;668.00;43.00;201.00;14.31
BRISONr_30;QLB;B1;79.00;36.27;239.20;762.32;27.92;31.70;460.00;49.00;236.00;14.87
BRISONr_31;QLB;B1;64.00;65.28;354.56;895.44;28.41;30.53;600.00;40.00;263.00;14.46
BRISONr_32;QLB;B1;80.00;66.34;420.00;1133.76;28.90;32.47;584.00;41.00;300.00;13.27
BRISONr_33;QLB;B1;69.00;62.35;369.68;1001.92;27.86;30.53;480.00;32.00;154.00;14.47
BRISONr_34;QLB;B1;74.00;32.49;232.24;934.72;25.52;29.80;320.00;52.00;376.00;15.37
BRISONr_35;QLB;B1;73.00;62.39;388.88;973.44;32.45;33.37;704.00;43.00;149.00;14.76
BRISONr_36;QLB;B1;70.00;48.30;403.60;1158.32;23.51;31.17;576.00;47.00;379.00;14.10
BRISONr_37;QLB;B1;75.00;52.67;324.00;989.04;25.20;27.67;636.00;49.00;421.00;16.20
BRISONr_38;QLB;B1;71.00;46.02;393.84;1084.08;25.31;28.63;540.00;49.00;433.00;14.51
BRISONr_39;QLB;B1;80.00;60.13;464.40;1365.52;28.61;35.43;484.00;42.00;435.00;15.19
BRISONr_40;QLB;B1;78.00;29.92;220.48;876.40;29.56;35.37;416.00;42.00;302.00;13.58
BRISONr_41;QLB;B1;70.00;53.88;285.68;903.84;26.40;31.03;784.00;40.00;306.00;13.33
BRISONr_42;QLB;B1;75.00;68.20;429.84;1073.92;27.98;30.10;748.00;39.00;110.00;14.20
BRISONr_43;QLB;B1;75.00;51.03;322.88;868.08;28.01;31.57;496.00;31.00;232.00;13.96
BRISONr_44;QLB;B1;75.00;64.56;428.00;1203.28;29.61;33.53;688.00;43.00;274.00;14.85
BRISONr_45;QLB;B1;81.00;62.14;444.72;1220.08;33.26;33.33;492.00;39.00;334.00;14.12
BRISONr_46;QLB;B1;72.00;43.43;238.64;797.20;27.43;30.07;532.00;43.00;334.00;15.87
BRISONr_47;QLB;B1;70.00;58.64;312.24;985.92;26.26;26.87;624.00;48.00;445.00;15.26
BRISONr_48;QLB;B1;79.00;58.63;292.08;958.56;28.35;29.30;636.00;45.00;286.00;14.89
BRISONr_49;QLB;B1;76.00;68.22;483.36;1383.20;25.74;27.47;668.00;40.00;398.00;13.33
BRISONr_50;QLB;B1;78.00;59.96;380.00;1139.84;27.86;27.83;624.00;45.00;343.00;14.50
BRISONr_51;QLB;B1;80.00;57.17;317.76;1010.96;31.85;33.00;448.00;43.00;201.00;14.34
BRISONr_52;QLB;B1;79.00;65.18;452.96;1241.76;25.65;27.67;632.00;46.00;367.00;13.90
BRISONr_53;QLB;B1;68.00;61.20;358.88;1046.48;28.66;27.93;728.00;49.00;138.00;15.31
BRISONr_54;QLB;B1;74.00;67.38;464.80;1225.28;28.47;32.90;828.00;44.00;296.00;13.46
BRISONr_55;QLB;B1;74.00;57.91;306.24;955.68;28.21;27.90;660.00;49.00;376.00;14.52
BRISONr_56;QLB;B1;80.00;51.76;321.12;1211.28;24.40;25.87;572.00;57.00;171.00;16.62
BRISONr_57;QLB;B1;75.00;58.23;256.32;734.72;30.68;31.77;616.00;38.00;437.00;12.96
BRISONr_58;QLB;B1;80.00;51.63;278.32;1035.20;29.41;32.50;564.00;42.00;356.00;13.59
BRISONr_59;QLB;B1;74.00;49.54;464.48;1312.00;25.65;29.63;640.00;45.00;346.00;13.06
BRISONr_60;QLB;B1;87.00;65.33;537.60;1511.20;24.51;30.27;444.00;45.00;359.00;14.20
BRISONr_61;QLB;B1;77.00;66.44;409.76;1156.64;28.10;28.40;612.00;44.00;254.00;14.37
BRISONr_62;QLB;B1;85.00;60.12;405.68;1299.04;28.84;33.30;592.00;45.00;346.00;13.74
BRISONr_63;QLB;B1;83.00;55.80;325.92;1027.20;28.21;31.43;664.00;50.00;395.00;15.62
BRISONr_64;QLB;B1;79.00;63.07;330.64;925.76;34.06;33.97;528.00;50.00;401.00;15.38
BRISONr_65;QLB;B1;72.00;63.10;381.84;1037.36;29.44;30.93;796.00;39.00;342.00;13.49
BRISONr_66;QLB;B1;73.00;58.95;407.60;1221.68;27.67;30.73;668.00;51.00;314.00;14.75
BRISONr_67;QLB;B1;97.00;72.06;461.76;1301.68;24.68;27.67;580.00;35.00;271.00;14.31
BRISONr_68;QLB;B1;84.00;67.18;417.52;1256.56;23.65;25.43;536.00;40.00;240.00;13.82
BRISONr_69;QLB;B1;79.00;67.54;379.92;1021.84;28.23;30.63;680.00;29.00;289.00;13.57
BRISONr_70;QLB;B1;78.00;57.27;364.40;1085.12;27.49;31.40;572.00;49.00;288.00;15.13
BRISONr_71;QLB;B1;77.00;55.01;405.60;1052.24;27.00;33.57;708.00;47.00;403.00;13.69
BRISONr_72;QLB;B1;83.00;70.82;450.88;1270.16;27.89;29.43;624.00;43.00;299.00;13.74
BRISONr_73;QLB;B1;66.00;35.72;270.16;877.84;27.18;26.20;472.00;39.00;330.00;14.24
BRISONr_74;QLB;B1;63.00;40.28;323.12;1067.04;23.33;23.53;528.00;48.00;408.00;16.01
BRISONr_75;QLB;B1;79.00;56.54;343.44;919.52;28.70;26.43;564.00;56.00;224.00;16.74
BRISONr_76;QLB;B1;82.00;66.39;380.96;1119.76;31.76;33.27;580.00;49.00;354.00;15.13
BRISONr_77;QLB;B1;95.00;70.18;467.84;1172.56;31.19;34.00;576.00;45.00;402.00;13.33
BRISONr_78;QLB;B1;74.00;28.22;227.36;845.68;25.71;29.20;460.00;50.00;212.00;14.67
BRISONr_79;QLB;B1;85.00;64.47;401.60;1175.92;26.43;32.13;568.00;41.00;356.00;13.59
BRISONr_80;QLB;B1;76.00;60.63;388.24;1070.72;30.01;31.40;524.00;30.00;353.00;13.40
BRISONr_81;QLB;B1;78.00;56.19;373.20;1193.68;30.25;31.43;552.00;47.00;228.00;15.00
BRISONr_82;QLB;B1;75.00;52.13;318.32;1169.52;22.30;22.80;520.00;54.00;439.00;15.70
BRISONr_83;QLB;B1;87.00;63.68;457.60;1425.92;27.86;30.00;700.00;43.00;239.00;14.59
BRISONr_84;QLB;B1;73.00;48.97;281.04;925.52;27.03;29.53;636.00;38.00;187.00;15.81
BRISONr_85;QLB;B1;75.00;63.29;354.80;1001.04;25.89;28.03;820.00;46.00;113.00;14.70
BRISONr_86;QLB;B1;84.00;57.13;416.08;1205.92;25.83;28.97;540.00;27.00;125.00;12.47
BRISONr_87;QLB;B1;81.00;50.31;300.96;977.44;25.97;28.77;588.00;31.00;305.00;13.76
BRISONr_88;QLB;B1;83.00;59.49;350.48;1145.60;24.83;28.57;404.00;50.00;246.00;14.87
BRISONr_89;QLB;B1;78.00;38.16;203.52;988.56;35.58;36.23;384.00;36.00;374.00;15.99
BRISONr_90;QLB;B1;78.00;52.97;336.56;1094.40;26.43;26.87;544.00;47.00;438.00;16.74
BRISONr_91;QLB;B1;89.00;75.11;462.72;1254.08;28.12;30.00;392.00;43.00;362.00;14.39
BRISONr_92;QLB;B1;82.00;49.07;395.28;1085.84;27.24;31.07;580.00;35.00;493.00;15.09
BRISONr_93;QLB;B1;84.00;51.12;357.36;1125.12;26.72;28.97;436.00;46.00;359.00;14.99
BRISONr_94;QLB;B1;63.00;15.80;124.80;771.28;22.25;25.70;264.00;34.00;217.00;15.81
BRISONr_95;QLB;B1;84.00;66.01;361.68;1201.04;26.60;26.57;704.00;42.00;229.00;13.93
BRISONr_96;QLB;B1;82.00;58.67;431.76;1186.96;31.13;32.10;564.00;38.00;333.00;15.02
BRISONr_97;QLB;B1;77.00;41.54;340.56;1023.04;28.81;30.77;440.00;39.00;247.00;15.33
BRISONr_98;QLB;B1;70.00;28.35;187.68;829.28;30.68;35.00;340.00;53.00;374.00;14.85
BRISONr_99;QLB;B1;85.00;41.21;276.56;917.04;33.63;34.57;404.00;45.00;184.00;13.73
BRISONr_100;QLB;B1;77.00;47.59;257.36;927.60;25.69;28.30;604.00;49.00;258.00;16.18
BRISONr_101;QLB;B1;79.00;59.01;338.48;1057.60;32.48;32.83;496.00;57.00;262.00;17.15
BRISONr_102;QLB;B1;86.00;36.66;215.76;854.48;30.90;31.00;444.00;55.00;215.00;14.70
BRISONr_103;QLB;B1;73.00;50.45;269.60;908.64;26.34;27.97;568.00;55.00;117.00;16.72
BRISONr_104;QLB;B1;80.00;27.58;267.12;911.04;27.03;31.13;436.00;55.00;205.00;15.60
BRISONr_105;QLB;B1;72.00;48.47;315.68;908.64;29.76;28.33;552.00;51.00;292.00;15.60
BRISONr_106;QLB;B1;86.00;67.02;448.88;1223.92;31.76;35.30;684.00;27.00;210.00;12.50
